0.4338 	WARNING 	Movie2 stim could not be imported and won't be available
777.0192 	DATA 	Keypress: t
779.2689 	DATA 	Keypress: t
781.5345 	DATA 	Keypress: t
783.8188 	DATA 	Keypress: t
786.0783 	DATA 	Keypress: t
788.3686 	DATA 	Keypress: t
790.6220 	DATA 	Keypress: t
792.9186 	DATA 	Keypress: t
795.1683 	DATA 	Keypress: t
797.4683 	DATA 	Keypress: t
799.7181 	DATA 	Keypress: t
801.9817 	DATA 	Keypress: t
804.2682 	DATA 	Keypress: t
806.5264 	DATA 	Keypress: t
808.8178 	DATA 	Keypress: t
811.0702 	DATA 	Keypress: t
813.3677 	DATA 	Keypress: t
815.6175 	DATA 	Keypress: t
817.9176 	DATA 	Keypress: t
820.1673 	DATA 	Keypress: t
822.4298 	DATA 	Keypress: t
824.7172 	DATA 	Keypress: t
826.9737 	DATA 	Keypress: t
829.2672 	DATA 	Keypress: t
831.5174 	DATA 	Keypress: t
833.8168 	DATA 	Keypress: t
836.0669 	DATA 	Keypress: t
838.3669 	DATA 	Keypress: t
840.6165 	DATA 	Keypress: t
842.8769 	DATA 	Keypress: t
845.1664 	DATA 	Keypress: t
847.4208 	DATA 	Keypress: t
849.7164 	DATA 	Keypress: t
851.9661 	DATA 	Keypress: t
854.2661 	DATA 	Keypress: t
856.5159 	DATA 	Keypress: t
858.7807 	DATA 	Keypress: t
861.0658 	DATA 	Keypress: t
863.3242 	DATA 	Keypress: t
865.6157 	DATA 	Keypress: t
867.8680 	DATA 	Keypress: t
870.1657 	DATA 	Keypress: t
872.4153 	DATA 	Keypress: t
874.7154 	DATA 	Keypress: t
876.9654 	DATA 	Keypress: t
879.2276 	DATA 	Keypress: t
881.5149 	DATA 	Keypress: t
883.7724 	DATA 	Keypress: t
886.0648 	DATA 	Keypress: t
888.3165 	DATA 	Keypress: t
890.6147 	DATA 	Keypress: t
892.8645 	DATA 	Keypress: t
895.1646 	DATA 	Keypress: t
897.4143 	DATA 	Keypress: t
899.6758 	DATA 	Keypress: t
901.9640 	DATA 	Keypress: t
904.2196 	DATA 	Keypress: t
906.5140 	DATA 	Keypress: t
908.7639 	DATA 	Keypress: t
911.0639 	DATA 	Keypress: t
913.3136 	DATA 	Keypress: t
915.5791 	DATA 	Keypress: t
917.8635 	DATA 	Keypress: t
